setting,framework,parameter,value
yolov4_default,darknet,mosaic,1
yolov4_default,darknet,jitter,0.3
yolov4_default,darknet,saturation,1.5
yolov4_default,darknet,exposure,1.5
yolov4_default,darknet,hue,0.1
yolov4_default,darknet,random,1
yolov4_no_aug,darknet,mosaic,0
yolov4_no_aug,darknet,jitter,0
yolov4_no_aug,darknet,saturation,1
yolov4_no_aug,darknet,exposure,1
yolov4_no_aug,darknet,hue,0
yolov4_no_aug,darknet,random,0
yolo26n_default,ultralytics,mosaic,1.0
yolo26n_default,ultralytics,close_mosaic,10
yolo26n_default,ultralytics,mixup,0.0
yolo26n_default,ultralytics,cutmix,0.0
yolo26n_default,ultralytics,copy_paste,0.0
yolo26n_default,ultralytics,degrees,0.0
yolo26n_default,ultralytics,translate,0.1
yolo26n_default,ultralytics,scale,0.5
yolo26n_default,ultralytics,shear,0.0
yolo26n_default,ultralytics,perspective,0.0
yolo26n_default,ultralytics,fliplr,0.5
yolo26n_default,ultralytics,flipud,0.0
yolo26n_default,ultralytics,hsv_h,0.015
yolo26n_default,ultralytics,hsv_s,0.7
yolo26n_default,ultralytics,hsv_v,0.4
yolo26n_default,ultralytics,erasing,0.4
yolo26n_default,ultralytics,auto_augment,randaugment
yolo26n_yolov4_style,ultralytics,mosaic,1.0
yolo26n_yolov4_style,ultralytics,close_mosaic,10
yolo26n_yolov4_style,ultralytics,mixup,0.0
yolo26n_yolov4_style,ultralytics,cutmix,0.0
yolo26n_yolov4_style,ultralytics,copy_paste,0.0
yolo26n_yolov4_style,ultralytics,degrees,0.0
yolo26n_yolov4_style,ultralytics,translate,0.05
yolo26n_yolov4_style,ultralytics,scale,0.3
yolo26n_yolov4_style,ultralytics,shear,0.0
yolo26n_yolov4_style,ultralytics,perspective,0.0
yolo26n_yolov4_style,ultralytics,fliplr,0.5
yolo26n_yolov4_style,ultralytics,flipud,0.0
yolo26n_yolov4_style,ultralytics,hsv_h,0.0
yolo26n_yolov4_style,ultralytics,hsv_s,0.2
yolo26n_yolov4_style,ultralytics,hsv_v,0.2
yolo26n_yolov4_style,ultralytics,erasing,0.0
yolo26n_yolov4_style,ultralytics,auto_augment,
yolo26n_no_aug,ultralytics,mosaic,0.0
yolo26n_no_aug,ultralytics,close_mosaic,0
yolo26n_no_aug,ultralytics,mixup,0.0
yolo26n_no_aug,ultralytics,cutmix,0.0
yolo26n_no_aug,ultralytics,copy_paste,0.0
yolo26n_no_aug,ultralytics,degrees,0.0
yolo26n_no_aug,ultralytics,translate,0.0
yolo26n_no_aug,ultralytics,scale,0.0
yolo26n_no_aug,ultralytics,shear,0.0
yolo26n_no_aug,ultralytics,perspective,0.0
yolo26n_no_aug,ultralytics,fliplr,0.0
yolo26n_no_aug,ultralytics,flipud,0.0
yolo26n_no_aug,ultralytics,hsv_h,0.0
yolo26n_no_aug,ultralytics,hsv_s,0.0
yolo26n_no_aug,ultralytics,hsv_v,0.0
yolo26n_no_aug,ultralytics,erasing,0.0
yolo26n_no_aug,ultralytics,auto_augment,
