job_index,model,augmentation,seed,run_name,split,class_id,class_name,ap50,tp,fp,fn,gt_count,class_precision,class_recall,class_f1
0,yolov4,yolov4_default,117,final_yolov4_yolov4_default_seed117,test,0,MILCO,0.591,36,16,30,66,0.6923076923076923,0.5454545454545454,0.6101694915254238
0,yolov4,yolov4_default,117,final_yolov4_yolov4_default_seed117,test,1,NOMBO,0.4152,10,12,16,26,0.45454545454545453,0.38461538461538464,0.41666666666666663
1,yolov4,yolov4_default,221,final_yolov4_yolov4_default_seed221,test,0,MILCO,0.6135,38,12,28,66,0.76,0.5757575757575758,0.6551724137931034
1,yolov4,yolov4_default,221,final_yolov4_yolov4_default_seed221,test,1,NOMBO,0.4578,13,10,13,26,0.5652173913043478,0.5,0.5306122448979592
2,yolov4,yolov4_default,333,final_yolov4_yolov4_default_seed333,test,0,MILCO,0.5987,38,12,28,66,0.76,0.5757575757575758,0.6551724137931034
2,yolov4,yolov4_default,333,final_yolov4_yolov4_default_seed333,test,1,NOMBO,0.3639,10,12,16,26,0.45454545454545453,0.38461538461538464,0.41666666666666663
3,yolov4,yolov4_no_aug,117,final_yolov4_yolov4_no_aug_seed117,test,0,MILCO,0.4583,30,13,36,66,0.6976744186046512,0.45454545454545453,0.5504587155963303
3,yolov4,yolov4_no_aug,117,final_yolov4_yolov4_no_aug_seed117,test,1,NOMBO,0.3089,7,11,19,26,0.3888888888888889,0.2692307692307692,0.3181818181818182
4,yolov4,yolov4_no_aug,221,final_yolov4_yolov4_no_aug_seed221,test,0,MILCO,0.5075999999999999,30,15,36,66,0.6666666666666666,0.45454545454545453,0.5405405405405405
4,yolov4,yolov4_no_aug,221,final_yolov4_yolov4_no_aug_seed221,test,1,NOMBO,0.2529,8,12,18,26,0.4,0.3076923076923077,0.34782608695652173
5,yolov4,yolov4_no_aug,333,final_yolov4_yolov4_no_aug_seed333,test,0,MILCO,0.4224,24,14,42,66,0.631578947368421,0.36363636363636365,0.46153846153846156
5,yolov4,yolov4_no_aug,333,final_yolov4_yolov4_no_aug_seed333,test,1,NOMBO,0.37560000000000004,10,8,16,26,0.5555555555555556,0.38461538461538464,0.4545454545454546
6,yolo26n,yolo26n_yolov4_style,117,final_yolo26n_yolo26n_yolov4_style_seed117,test,0,MILCO,0.6913383589088737,45,9,21,66,0.8333333333333334,0.6818181818181818,0.7499999999999999
6,yolo26n,yolo26n_yolov4_style,117,final_yolo26n_yolo26n_yolov4_style_seed117,test,1,NOMBO,0.7161420828493998,18,13,8,26,0.5806451612903226,0.6923076923076923,0.631578947368421
7,yolo26n,yolo26n_yolov4_style,221,final_yolo26n_yolo26n_yolov4_style_seed221,test,0,MILCO,0.7119050224435787,43,8,23,66,0.8431372549019608,0.6515151515151515,0.7350427350427351
7,yolo26n,yolo26n_yolov4_style,221,final_yolo26n_yolo26n_yolov4_style_seed221,test,1,NOMBO,0.7097403381642511,18,11,8,26,0.6206896551724138,0.6923076923076923,0.6545454545454545
8,yolo26n,yolo26n_yolov4_style,333,final_yolo26n_yolo26n_yolov4_style_seed333,test,0,MILCO,0.6981180409261485,42,6,24,66,0.875,0.6363636363636364,0.7368421052631579
8,yolo26n,yolo26n_yolov4_style,333,final_yolo26n_yolo26n_yolov4_style_seed333,test,1,NOMBO,0.6597751831501831,18,16,8,26,0.5294117647058824,0.6923076923076923,0.5999999999999999
9,yolo26n,yolo26n_no_aug,117,final_yolo26n_yolo26n_no_aug_seed117,test,0,MILCO,0.5994626396080087,33,7,33,66,0.825,0.5,0.6226415094339622
9,yolo26n,yolo26n_no_aug,117,final_yolo26n_yolo26n_no_aug_seed117,test,1,NOMBO,0.37458214285714286,13,3,13,26,0.8125,0.5,0.6190476190476191
10,yolo26n,yolo26n_no_aug,221,final_yolo26n_yolo26n_no_aug_seed221,test,0,MILCO,0.5187294717294717,32,1,34,66,0.9696969696969697,0.48484848484848486,0.6464646464646465
10,yolo26n,yolo26n_no_aug,221,final_yolo26n_yolo26n_no_aug_seed221,test,1,NOMBO,0.4357043849869937,8,0,18,26,1.0,0.3076923076923077,0.47058823529411764
11,yolo26n,yolo26n_no_aug,333,final_yolo26n_yolo26n_no_aug_seed333,test,0,MILCO,0.5121915488857888,36,4,30,66,0.9,0.5454545454545454,0.679245283018868
11,yolo26n,yolo26n_no_aug,333,final_yolo26n_yolo26n_no_aug_seed333,test,1,NOMBO,0.3841913061251129,10,2,16,26,0.8333333333333334,0.38461538461538464,0.5263157894736842
