job_index,model,augmentation,seed,run_name,runtime_seconds,best_weights,best_weights_mb,parameter_count,val_precision,val_recall,val_map50,val_map50_95,test_precision,test_recall,test_f1,test_map50,test_map50_95
0,yolov4,yolov4_default,117,final_yolov4_yolov4_default_seed117,29141.03219628334,experiments/final/final_yolov4_yolov4_default_seed117/backup/yolov4_default_best.weights,256.03752,,,,,,0.52,0.5,0.51,0.412939,0.19317959999999998
1,yolov4,yolov4_default,221,final_yolov4_yolov4_default_seed221,40184.66567969322,experiments/final/final_yolov4_yolov4_default_seed221/backup/yolov4_default_best.weights,256.03752,,,,,,0.7,0.51,0.59,0.460028,0.19271270000000001
2,yolov4,yolov4_default,333,final_yolov4_yolov4_default_seed333,28666.49830842018,experiments/final/final_yolov4_yolov4_default_seed333/backup/yolov4_default_best.weights,256.03752,,,,,,0.6,0.52,0.56,0.478209,0.20502009999999998
3,yolov4,yolov4_no_aug,117,final_yolov4_yolov4_no_aug_seed117,32944.428532123566,experiments/final/final_yolov4_yolov4_no_aug_seed117/backup/yolov4_no_aug_best.weights,256.03752,,,,,,0.7,0.43,0.54,0.436026,0.2012392
4,yolov4,yolov4_no_aug,221,final_yolov4_yolov4_no_aug_seed221,23243.366000175476,experiments/final/final_yolov4_yolov4_no_aug_seed221/backup/yolov4_no_aug_best.weights,256.03752,,,,,,0.54,0.43,0.48,0.425843,0.2045675
5,yolov4,yolov4_no_aug,333,final_yolov4_yolov4_no_aug_seed333,23557.308377981186,experiments/final/final_yolov4_yolov4_no_aug_seed333/backup/yolov4_no_aug_best.weights,256.03752,,,,,,0.57,0.4,0.47,0.389163,0.1847458
6,yolo26n,yolo26n_yolov4_style,117,final_yolo26n_yolo26n_yolov4_style_seed117,3127.9895300865173,/scratch/s5626595/sonar-mine-detection-final/experiments/final/final_yolo26n_yolo26n_yolov4_style_seed117/weights/best.pt,5.444414,2375226,0.82715,0.7228,0.76298,0.51601,0.8121718241638176,0.6643356643356644,0.7308526540680224,0.6946237799060548,0.4759266031345727
7,yolo26n,yolo26n_yolov4_style,221,final_yolo26n_yolo26n_yolov4_style_seed221,3362.7282712459564,/scratch/s5626595/sonar-mine-detection-final/experiments/final/final_yolo26n_yolo26n_yolov4_style_seed221/weights/best.pt,5.449022,2375226,0.80657,0.74023,0.75378,0.50483,0.8196376736756517,0.690908342862478,0.7497878259475143,0.66389832323079,0.4593428737920354
8,yolo26n,yolo26n_yolov4_style,333,final_yolo26n_yolo26n_yolov4_style_seed333,3161.9108550548553,/scratch/s5626595/sonar-mine-detection-final/experiments/final/final_yolo26n_yolo26n_yolov4_style_seed333/weights/best.pt,5.445566,2375226,0.82493,0.7636,0.76504,0.5102,0.8368743942882095,0.6416083916083917,0.7263468188057169,0.7179663510006757,0.5052624336902081
9,yolo26n,yolo26n_no_aug,117,final_yolo26n_yolo26n_no_aug_seed117,1329.3837649822235,/scratch/s5626595/sonar-mine-detection-final/experiments/final/final_yolo26n_yolo26n_no_aug_seed117/weights/best.pt,5.415102,2375226,0.76021,0.50279,0.57521,0.37284,0.7242133040866001,0.4493006993006993,0.5545558775263968,0.4953615008976262,0.347311573727766
10,yolo26n,yolo26n_no_aug,221,final_yolo26n_yolo26n_no_aug_seed221,1858.4787628650665,/scratch/s5626595/sonar-mine-detection-final/experiments/final/final_yolo26n_yolo26n_no_aug_seed221/weights/best.pt,5.42643,2375226,0.78436,0.48972,0.55835,0.37713,0.6022808267997148,0.5454545454545454,0.572460904420482,0.5109183107672469,0.3681885229071602
11,yolo26n,yolo26n_no_aug,333,final_yolo26n_yolo26n_no_aug_seed333,1521.6980574131012,/scratch/s5626595/sonar-mine-detection-final/experiments/final/final_yolo26n_yolo26n_no_aug_seed333/weights/best.pt,5.416382,2375226,0.75195,0.51263,0.56955,0.38798,0.8197691499369013,0.4507480254678101,0.581667580457194,0.5060499673124809,0.3566297011685943
