split,image_name,year,category,n_objects
Train,0001_2010.jpg,2010,Empty,0
Train,0001_2021.jpg,2021,MILCO-only,2
Train,0002_2010.jpg,2010,Empty,0
Train,0002_2018.jpg,2018,Empty,0
Train,0002_2021.jpg,2021,Empty,0
Train,0003_2010.jpg,2010,Empty,0
Train,0003_2015.jpg,2015,Mixed,5
Train,0003_2017.jpg,2017,MILCO-only,2
Train,0003_2018.jpg,2018,Empty,0
Train,0004_2017.jpg,2017,MILCO-only,1
Train,0004_2018.jpg,2018,Empty,0
Train,0004_2021.jpg,2021,Empty,0
Train,0005_2010.jpg,2010,Empty,0
Train,0005_2017.jpg,2017,MILCO-only,1
Train,0005_2018.jpg,2018,Empty,0
Train,0005_2021.jpg,2021,Empty,0
Train,0006_2010.jpg,2010,Empty,0
Train,0006_2015.jpg,2015,Mixed,3
Train,0006_2017.jpg,2017,MILCO-only,1
Train,0006_2021.jpg,2021,Empty,0
Train,0007_2010.jpg,2010,Empty,0
Train,0007_2017.jpg,2017,MILCO-only,1
Train,0007_2018.jpg,2018,Empty,0
Train,0007_2021.jpg,2021,MILCO-only,2
Train,0008_2017.jpg,2017,MILCO-only,1
Train,0008_2018.jpg,2018,Empty,0
Train,0008_2021.jpg,2021,MILCO-only,3
Train,0009_2015.jpg,2015,Mixed,6
Train,0009_2017.jpg,2017,MILCO-only,3
Train,0009_2018.jpg,2018,Empty,0
Train,0009_2021.jpg,2021,MILCO-only,3
Train,0010_2010.jpg,2010,Empty,0
Train,0010_2015.jpg,2015,Mixed,6
Train,0010_2017.jpg,2017,MILCO-only,3
Train,0010_2018.jpg,2018,Empty,0
Train,0010_2021.jpg,2021,MILCO-only,3
Train,0011_2015.jpg,2015,MILCO-only,2
Train,0011_2021.jpg,2021,MILCO-only,3
Train,0012_2010.jpg,2010,Empty,0
Train,0012_2015.jpg,2015,MILCO-only,2
Train,0012_2017.jpg,2017,Empty,0
Train,0012_2018.jpg,2018,Empty,0
Train,0013_2010.jpg,2010,Empty,0
Train,0013_2015.jpg,2015,Mixed,5
Train,0013_2017.jpg,2017,MILCO-only,2
Train,0013_2021.jpg,2021,MILCO-only,1
Train,0014_2015.jpg,2015,Mixed,5
Train,0014_2017.jpg,2017,MILCO-only,2
Train,0014_2021.jpg,2021,Empty,0
Train,0015_2015.jpg,2015,Mixed,3
Train,0015_2017.jpg,2017,Empty,0
Train,0015_2018.jpg,2018,Empty,0
Train,0015_2021.jpg,2021,MILCO-only,1
Train,0016_2017.jpg,2017,Empty,0
Train,0016_2018.jpg,2018,Empty,0
Train,0017_2010.jpg,2010,Empty,0
Train,0017_2017.jpg,2017,Empty,0
Train,0018_2010.jpg,2010,Empty,0
Train,0018_2015.jpg,2015,Mixed,3
Train,0018_2021.jpg,2021,MILCO-only,1
Train,0019_2010.jpg,2010,Empty,0
Train,0019_2015.jpg,2015,Mixed,2
Train,0019_2017.jpg,2017,Empty,0
Train,0019_2021.jpg,2021,MILCO-only,1
Train,0020_2010.jpg,2010,Empty,0
Train,0020_2018.jpg,2018,Empty,0
Train,0020_2021.jpg,2021,MILCO-only,2
Train,0021_2010.jpg,2010,Empty,0
Train,0021_2018.jpg,2018,MILCO-only,1
Train,0021_2021.jpg,2021,MILCO-only,1
Train,0022_2010.jpg,2010,Empty,0
Train,0022_2015.jpg,2015,MILCO-only,2
Train,0022_2017.jpg,2017,Empty,0
Train,0022_2021.jpg,2021,Empty,0
Train,0023_2015.jpg,2015,MILCO-only,1
Train,0023_2017.jpg,2017,Empty,0
Train,0023_2018.jpg,2018,MILCO-only,1
Train,0023_2021.jpg,2021,MILCO-only,1
Train,0024_2018.jpg,2018,Empty,0
Train,0024_2021.jpg,2021,MILCO-only,1
Train,0025_2015.jpg,2015,Mixed,3
Train,0026_2010.jpg,2010,Empty,0
Train,0026_2021.jpg,2021,MILCO-only,1
Train,0027_2010.jpg,2010,Empty,0
Train,0027_2015.jpg,2015,Mixed,3
Train,0027_2017.jpg,2017,Empty,0
Train,0027_2018.jpg,2018,Empty,0
Train,0027_2021.jpg,2021,MILCO-only,1
Train,0028_2010.jpg,2010,Empty,0
Train,0028_2017.jpg,2017,Empty,0
Train,0028_2018.jpg,2018,Empty,0
Train,0028_2021.jpg,2021,MILCO-only,1
Train,0029_2010.jpg,2010,Empty,0
Train,0029_2015.jpg,2015,MILCO-only,3
Train,0029_2017.jpg,2017,Empty,0
Train,0029_2021.jpg,2021,Empty,0
Train,0030_2010.jpg,2010,Empty,0
Train,0030_2017.jpg,2017,Empty,0
Train,0030_2018.jpg,2018,Empty,0
Train,0031_2010.jpg,2010,Empty,0
Train,0031_2018.jpg,2018,Empty,0
Train,0032_2010.jpg,2010,Empty,0
Train,0032_2017.jpg,2017,Empty,0
Train,0032_2021.jpg,2021,MILCO-only,2
Train,0033_2015.jpg,2015,Mixed,3
