job_index,fold,learning_rate,batch_size,optimizer,patience
0,0,0.001,8,SGD,50
1,0,0.001,8,AdamW,50
2,0,0.001,16,SGD,50
3,0,0.001,16,AdamW,50
4,0,0.005,8,SGD,50
5,0,0.005,8,AdamW,50
6,0,0.005,16,SGD,50
7,0,0.005,16,AdamW,50
8,0,0.01,8,SGD,50
9,0,0.01,8,AdamW,50
10,0,0.01,16,SGD,50
11,0,0.01,16,AdamW,50
12,1,0.001,8,SGD,50
13,1,0.001,8,AdamW,50
14,1,0.001,16,SGD,50
15,1,0.001,16,AdamW,50
16,1,0.005,8,SGD,50
17,1,0.005,8,AdamW,50
18,1,0.005,16,SGD,50
19,1,0.005,16,AdamW,50
20,1,0.01,8,SGD,50
21,1,0.01,8,AdamW,50
22,1,0.01,16,SGD,50
23,1,0.01,16,AdamW,50
24,2,0.001,8,SGD,50
25,2,0.001,8,AdamW,50
26,2,0.001,16,SGD,50
27,2,0.001,16,AdamW,50
28,2,0.005,8,SGD,50
29,2,0.005,8,AdamW,50
30,2,0.005,16,SGD,50
31,2,0.005,16,AdamW,50
32,2,0.01,8,SGD,50
33,2,0.01,8,AdamW,50
34,2,0.01,16,SGD,50
35,2,0.01,16,AdamW,50
36,3,0.001,8,SGD,50
37,3,0.001,8,AdamW,50
38,3,0.001,16,SGD,50
39,3,0.001,16,AdamW,50
40,3,0.005,8,SGD,50
41,3,0.005,8,AdamW,50
42,3,0.005,16,SGD,50
43,3,0.005,16,AdamW,50
44,3,0.01,8,SGD,50
45,3,0.01,8,AdamW,50
46,3,0.01,16,SGD,50
47,3,0.01,16,AdamW,50
48,4,0.001,8,SGD,50
49,4,0.001,8,AdamW,50
50,4,0.001,16,SGD,50
51,4,0.001,16,AdamW,50
52,4,0.005,8,SGD,50
53,4,0.005,8,AdamW,50
54,4,0.005,16,SGD,50
55,4,0.005,16,AdamW,50
56,4,0.01,8,SGD,50
57,4,0.01,8,AdamW,50
58,4,0.01,16,SGD,50
59,4,0.01,16,AdamW,50
