job_index,fold,learning_rate,batch_size,optimizer,patience,run_name,results_path,precision,recall,map50,map50_95
0,0,0.001,8,SGD,100,job0_fold0_lr0.001_batch8_optSGD_patience100,experiments/tuning/job0_fold0_lr0.001_batch8_optSGD_patience100/results.csv,0.48082,0.44418,0.42778,0.22788
1,0,0.001,8,AdamW,100,job1_fold0_lr0.001_batch8_optAdamW_patience100,experiments/tuning/job1_fold0_lr0.001_batch8_optAdamW_patience100/results.csv,0.69411,0.46796,0.53724,0.28889
2,0,0.001,16,SGD,100,job2_fold0_lr0.001_batch16_optSGD_patience100,experiments/tuning/job2_fold0_lr0.001_batch16_optSGD_patience100/results.csv,0.68476,0.3933,0.47999,0.25457
3,0,0.001,16,AdamW,100,job3_fold0_lr0.001_batch16_optAdamW_patience100,experiments/tuning/job3_fold0_lr0.001_batch16_optAdamW_patience100/results.csv,0.62511,0.55167,0.55992,0.31495
4,0,0.005,8,SGD,100,job4_fold0_lr0.005_batch8_optSGD_patience100,experiments/tuning/job4_fold0_lr0.005_batch8_optSGD_patience100/results.csv,0.79719,0.4435,0.56173,0.30268
5,0,0.005,8,AdamW,100,job5_fold0_lr0.005_batch8_optAdamW_patience100,experiments/tuning/job5_fold0_lr0.005_batch8_optAdamW_patience100/results.csv,0.59869,0.45016,0.4655,0.2137
6,0,0.005,16,SGD,100,job6_fold0_lr0.005_batch16_optSGD_patience100,experiments/tuning/job6_fold0_lr0.005_batch16_optSGD_patience100/results.csv,0.62169,0.54691,0.58419,0.33348
7,0,0.005,16,AdamW,100,job7_fold0_lr0.005_batch16_optAdamW_patience100,experiments/tuning/job7_fold0_lr0.005_batch16_optAdamW_patience100/results.csv,0.69921,0.4869,0.54926,0.27216
8,0,0.01,8,SGD,100,job8_fold0_lr0.01_batch8_optSGD_patience100,experiments/tuning/job8_fold0_lr0.01_batch8_optSGD_patience100/results.csv,0.64582,0.51861,0.56071,0.28517
9,0,0.01,8,AdamW,100,job9_fold0_lr0.01_batch8_optAdamW_patience100,experiments/tuning/job9_fold0_lr0.01_batch8_optAdamW_patience100/results.csv,0.50018,0.40199,0.40725,0.16772
10,0,0.01,16,SGD,100,job10_fold0_lr0.01_batch16_optSGD_patience100,experiments/tuning/job10_fold0_lr0.01_batch16_optSGD_patience100/results.csv,0.71137,0.57831,0.61778,0.34582
11,0,0.01,16,AdamW,100,job11_fold0_lr0.01_batch16_optAdamW_patience100,experiments/tuning/job11_fold0_lr0.01_batch16_optAdamW_patience100/results.csv,0.50619,0.46305,0.40524,0.20344
12,1,0.001,8,SGD,100,job12_fold1_lr0.001_batch8_optSGD_patience100,experiments/tuning/job12_fold1_lr0.001_batch8_optSGD_patience100/results.csv,0.60341,0.43988,0.49297,0.24786
13,1,0.001,8,AdamW,100,job13_fold1_lr0.001_batch8_optAdamW_patience100,experiments/tuning/job13_fold1_lr0.001_batch8_optAdamW_patience100/results.csv,0.5882,0.50981,0.54415,0.29342
14,1,0.001,16,SGD,100,job14_fold1_lr0.001_batch16_optSGD_patience100,experiments/tuning/job14_fold1_lr0.001_batch16_optSGD_patience100/results.csv,0.67146,0.49164,0.51528,0.29126
15,1,0.001,16,AdamW,100,job15_fold1_lr0.001_batch16_optAdamW_patience100,experiments/tuning/job15_fold1_lr0.001_batch16_optAdamW_patience100/results.csv,0.73799,0.56786,0.61278,0.32779
16,1,0.005,8,SGD,100,job16_fold1_lr0.005_batch8_optSGD_patience100,experiments/tuning/job16_fold1_lr0.005_batch8_optSGD_patience100/results.csv,0.75535,0.56648,0.59229,0.34303
17,1,0.005,8,AdamW,100,job17_fold1_lr0.005_batch8_optAdamW_patience100,experiments/tuning/job17_fold1_lr0.005_batch8_optAdamW_patience100/results.csv,0.4682,0.44907,0.4677,0.24854
18,1,0.005,16,SGD,100,job18_fold1_lr0.005_batch16_optSGD_patience100,experiments/tuning/job18_fold1_lr0.005_batch16_optSGD_patience100/results.csv,0.77413,0.63036,0.64897,0.38515
19,1,0.005,16,AdamW,100,job19_fold1_lr0.005_batch16_optAdamW_patience100,experiments/tuning/job19_fold1_lr0.005_batch16_optAdamW_patience100/results.csv,0.63952,0.5282,0.55002,0.29417
20,1,0.01,8,SGD,100,job20_fold1_lr0.01_batch8_optSGD_patience100,experiments/tuning/job20_fold1_lr0.01_batch8_optSGD_patience100/results.csv,0.69441,0.55274,0.56432,0.32076
21,1,0.01,8,AdamW,100,job21_fold1_lr0.01_batch8_optAdamW_patience100,experiments/tuning/job21_fold1_lr0.01_batch8_optAdamW_patience100/results.csv,0.4139,0.42333,0.41501,0.18893
22,1,0.01,16,SGD,100,job22_fold1_lr0.01_batch16_optSGD_patience100,experiments/tuning/job22_fold1_lr0.01_batch16_optSGD_patience100/results.csv,0.67357,0.62705,0.60841,0.3481
23,1,0.01,16,AdamW,100,job23_fold1_lr0.01_batch16_optAdamW_patience100,experiments/tuning/job23_fold1_lr0.01_batch16_optAdamW_patience100/results.csv,0.55893,0.48415,0.48204,0.24118
24,2,0.001,8,SGD,100,job24_fold2_lr0.001_batch8_optSGD_patience100,experiments/tuning/job24_fold2_lr0.001_batch8_optSGD_patience100/results.csv,0.65537,0.43733,0.49801,0.24185
25,2,0.001,8,AdamW,100,job25_fold2_lr0.001_batch8_optAdamW_patience100,experiments/tuning/job25_fold2_lr0.001_batch8_optAdamW_patience100/results.csv,0.58181,0.39492,0.4473,0.2273
26,2,0.001,16,SGD,100,job26_fold2_lr0.001_batch16_optSGD_patience100,experiments/tuning/job26_fold2_lr0.001_batch16_optSGD_patience100/results.csv,0.56058,0.4339,0.43816,0.21508
27,2,0.001,16,AdamW,100,job27_fold2_lr0.001_batch16_optAdamW_patience100,experiments/tuning/job27_fold2_lr0.001_batch16_optAdamW_patience100/results.csv,0.65761,0.45343,0.5091,0.27761
28,2,0.005,8,SGD,100,job28_fold2_lr0.005_batch8_optSGD_patience100,experiments/tuning/job28_fold2_lr0.005_batch8_optSGD_patience100/results.csv,0.55309,0.53195,0.51968,0.28683
29,2,0.005,8,AdamW,100,job29_fold2_lr0.005_batch8_optAdamW_patience100,experiments/tuning/job29_fold2_lr0.005_batch8_optAdamW_patience100/results.csv,0.59339,0.45455,0.44711,0.2468
30,2,0.005,16,SGD,100,job30_fold2_lr0.005_batch16_optSGD_patience100,experiments/tuning/job30_fold2_lr0.005_batch16_optSGD_patience100/results.csv,0.64584,0.54259,0.55231,0.27925
31,2,0.005,16,AdamW,100,job31_fold2_lr0.005_batch16_optAdamW_patience100,experiments/tuning/job31_fold2_lr0.005_batch16_optAdamW_patience100/results.csv,0.54746,0.44841,0.47691,0.24832
32,2,0.01,8,SGD,100,job32_fold2_lr0.01_batch8_optSGD_patience100,experiments/tuning/job32_fold2_lr0.01_batch8_optSGD_patience100/results.csv,0.59429,0.53836,0.53818,0.2769
33,2,0.01,8,AdamW,100,job33_fold2_lr0.01_batch8_optAdamW_patience100,experiments/tuning/job33_fold2_lr0.01_batch8_optAdamW_patience100/results.csv,0.35499,0.43492,0.37047,0.17763
34,2,0.01,16,SGD,100,job34_fold2_lr0.01_batch16_optSGD_patience100,experiments/tuning/job34_fold2_lr0.01_batch16_optSGD_patience100/results.csv,0.65096,0.4955,0.54596,0.29159
35,2,0.01,16,AdamW,100,job35_fold2_lr0.01_batch16_optAdamW_patience100,experiments/tuning/job35_fold2_lr0.01_batch16_optAdamW_patience100/results.csv,0.45396,0.44508,0.42841,0.21599
36,3,0.001,8,SGD,100,job36_fold3_lr0.001_batch8_optSGD_patience100,experiments/tuning/job36_fold3_lr0.001_batch8_optSGD_patience100/results.csv,0.38246,0.40101,0.35322,0.15894
37,3,0.001,8,AdamW,100,job37_fold3_lr0.001_batch8_optAdamW_patience100,experiments/tuning/job37_fold3_lr0.001_batch8_optAdamW_patience100/results.csv,0.59978,0.40889,0.45721,0.22018
38,3,0.001,16,SGD,100,job38_fold3_lr0.001_batch16_optSGD_patience100,experiments/tuning/job38_fold3_lr0.001_batch16_optSGD_patience100/results.csv,0.56936,0.37696,0.40908,0.19476
39,3,0.001,16,AdamW,100,job39_fold3_lr0.001_batch16_optAdamW_patience100,experiments/tuning/job39_fold3_lr0.001_batch16_optAdamW_patience100/results.csv,0.51091,0.41427,0.41097,0.2106
